CH1	CH2	CH3	CH4	CH5
0.0070038	-0.0082855	0.056259	-0.00059509	-0.0033875
0.0032043	-0.003891	0.069077	-0.0026093	0.0085602
0.0037537	-0.0046234	-0.0048065	-0.0011444	0.015701
0.00032043	-0.011032	-0.03392	0.0017853	0.010941
-0.006134	-0.010712	-0.09169	0.0029755	0.010757
-0.01799	-0.013779	-0.13564	0.0042572	0.0016937
-0.019409	-0.0084686	-0.11476	0.002243	0.010941
-0.0095673	-0.0035248	-0.083267	0.0010529	0.0071869
-0.010391	-0.0086975	-0.0086517	-0.0037994	0.0014191
-0.0069122	-0.0042572	0.0070038	-0.0044403	0.010712
0.0027008	-0.0035248	0.0017853	-0.005722	-0.0018768
0.013824	0.0050812	0.025223	-0.0033417	0.0044403
0.022705	0.0031586	0.037445	-0.0017395	-0.00086975
0.013	0.012039	0.10648	0.00086975	-0.0016479
0.013733	-0.0039825	0.16562	-0.0021515	-0.0013733
0.013733	-0.0091095	0.14973	-0.0016937	-0.00737
0.0072784	-0.0041199	0.12135	0.0015106	0.00032043
0.00091553	-0.011398	0.091415	0.0017853	-0.0059052
-0.0073242	-0.0027008	0.045959	0.0021515	0.0067291
-0.010071	-0.0090637	0.025497	0.0067291	0.0016937
-0.0032959	-0.015976	0.0168	0.0037079	-0.0052643
0.0033875	-0.0070038	0.026871	0.005722	0.0076447
0.012268	-0.0051727	-0.001236	0.0094757	-0.0041656
0.015976	-0.00027466	0.020187	0.0037994	0.0085602
0.01181	-0.0073242	0.046463	0.00032043	0.0037537
0.0018768	-0.010025	-0.024582	0.0016937	0.0073242
-0.0044403	0.00013733	-0.14763	0.00022888	0.00013733
-0.0032959	-0.0017395	-0.22719	0.0022888	0.0096588
-0.010254	-0.0068207	-0.23268	0.0048981	0.004715
-0.010254	-0.0068207	-0.20082	0.0066376	0.00032043
-0.01236	-0.017532	-0.13426	0.0027924	0.013687
-0.012131	9.1553e-05	-0.1132	0.0067291	0.0032501
-0.0054016	-0.0066376	-0.056351	0.011215	0.0036163
0.0018311	-0.012177	0.057129	0.0030212	0.0039368
0.0048523	-0.010849	0.11842	-0.0023346	-0.00032043
0.013046	-0.01506	0.12538	-0.0048065	0.0040741
0.019043	-0.00737	0.1057	-0.0032043	-0.0026093
0.023758	-0.0024261	0.056351	-0.0031586	0.0036163
0.017441	0.0055847	0.072235	-0.0038452	0.0087433
0.0084229	-0.0015564	0.073196	0.0017853	-0.0027008
0.003891	-0.0080109	0.071548	0.00086975	0.0098419
0.0048981	-0.0040741	0.05928	-0.00041199	0.0050354
0.0044861	-0.0079651	0.02504	0.0020599	0.0061798
-0.0046234	-0.0023346	0.017715	-0.00068665	0.0054474
-0.0035706	0.0032501	0.050446	-0.0094299	0.0029755
-0.004303	-0.0049896	0.085831	-0.008194	-0.0046234
-0.0010071	-0.0067291	0.13197	-0.011856	0.0076904
0.0015106	-0.011398	0.16049	-0.0088348	-0.0049896
0.0043488	-0.0042572	0.11861	-0.0059967	0.004303
-0.0030212	-0.0028381	0.058548	0.0049438	0.0037537
-0.0026093	-0.0058136	-0.048111	0.019135	-0.0023346
-0.0021973	-0.0099335	-0.18929	0.013412	0.0099792
-0.014282	-0.012177	-0.24728	0.0024261	-0.0010071
-0.0095215	-0.0029755	-0.32364	0.0026093	0.014969
-0.0054474	-0.0051727	-0.21648	0.0085602	0.012589
-0.010803	-0.0096588	-0.08757	0.0071869	0.0022888
-0.0038452	-0.0050354	0.012955	0.0038452	0.0098419
0.0016479	-0.0048523	0.13747	0.0014191	0.00013733
-0.0010529	0.00032043	0.19208	-0.0020599	0.0017853
-0.0032959	-0.0067291	0.21483	-0.0079651	0.013687
-0.0060425	-0.010712	0.099106	-0.0047607	0.0061798
0.0049896	-0.0026093	-0.059967	0.0072784	0.01149
0.016663	-0.010574	-0.12785	0.0061798	0.0036163
0.006134	0.00032043	-0.18787	0.003067	0.0056305
0.0020142	-0.0026093	-0.17876	0.0068207	0.0037537
0.0012817	-0.011856	-0.069992	0.0058136	0.00013733
-0.0025177	-0.0079651	-0.0027008	0.0028839	0.0064545
-0.0067291	-0.009613	0.028152	-0.0011444	-0.0046234
-0.0027924	-0.011948	0.082489	-0.00041199	0.0080566
0.00073242	-0.014603	0.18782	-0.0021057	0.0049896
0.0048523	-0.0045319	0.19638	-0.0026093	-0.00022888
0.0032501	-0.0066376	0.11165	-0.0099335	0.0032501
0.0044861	0.005127	-0.037766	-0.0076904	0.0021515
0.0054932	-0.0037079	-0.1089	-0.0031586	-0.0007782
0.0061798	0.0021515	-0.05365	-0.0028381	0.003067
0.0045319	-0.0048065	-0.083771	0.0017853	-0.004715
0.00027466	0.00032043	-0.10039	0.01767	0.0053558
0.00032043	-0.0050354	-0.086884	0.024811	0.0087891
0.0010986	-0.0039825	-0.052414	0.0090179	-0.0048065
-0.0084686	-0.013779	-0.00050354	-0.0015564	0.0063629
-0.0073242	-0.0084686	-0.027512	-0.0031586	-0.0010529
-0.014236	-0.013046	-0.077866	0.0017853	0.011307
-0.016205	-0.0052185	-0.039047	0.008194	0.0061798
-0.012222	-0.013184	0.086288	0.0055847	0.0046692
-0.0094299	-0.0037994	0.12593	-0.00032043	0.011032
-0.010025	-0.013138	0.13033	-0.0059052	0.013504
-0.0087433	-0.0063171	0.11943	-0.0074615	0.0027008
-0.0075073	-0.015244	0.04184	-0.0078278	0.010757
