===	start	settings	header	===
{Settings:{Import: C:\Users\usman\OneDrive2\OneDrive\UA\6-Digital Signal Processing\Digital-Signal-Processing\DSP_PROJECT\DATA\PP01\/S1_MVC_delt_rechts.txt}{MV}{FFT}{Outliers: {1} {median} {center}}				
===	end	settings	header	===
CH1	CH2	CH3	CH4	CH5
-0.0007782	-0.0035706	0.00032043	-0.0044861	-0.0043945
0.0027008	-0.0026093	-0.0032501	-0.0041656	0.016617
0.0042114	-0.0019226	-0.0029755	-0.01236	0.014694
0.0020142	-0.0016479	-0.00041199	-0.023117	-0.019638
-0.00054932	-0.01506	-0.0028839	-0.028427	-0.013229
-0.0010986	-0.0051727	-0.00086975	-0.022568	0.015244
0.0011444	-0.006958	-0.0065918	-0.014328	0.020828
0.0045776	-0.004715	-0.0061798	0.001236	-0.0035248
-9.1553e-05	0.0027008	-0.0016937	0.023209	0.011398
0.0016479	-0.0011444	-0.0035248	0.026505	-0.012405
-0.0014648	-0.0040741	-0.0048065	0.046051	-0.0070038
0.0021973	-0.0088348	-0.0035248	0.05159	0.015839
-0.00027466	-0.0013275	-0.0055389	0.036896	0.0009613
-0.0019226	-0.0026093	-0.0045776	4.5776e-05	-0.0016022
0.00059509	-0.0043488	-0.0084686	0.027237	0.0052643
0.00032043	-0.0039368	-0.0064545	0.06015	0.0058136
-0.0010529	-0.01268	-0.0045776	0.033554	0.0059967
0.0031586	-0.0070496	-0.0072784	0.0086517	0.0063629
0.00082397	-0.0068207	-0.008194	-0.012497	-0.0036621
0.00027466	-0.0058594	-0.0075989	-0.042526	0.011124
0.001236	-0.0065002	-0.0044403	-0.070084	0.0055389
0.0013733	-0.009201	-0.0071869	-0.08876	9.1553e-05
0.0033417	-0.0031586	-0.0055389	-0.06015	0.013138
-0.0009613	0.0017853	-0.0037994	-0.0086517	0.0081024
0.0025635	-0.0075531	-0.0032043	0.024857	-0.0026093
0.00032043	-0.0027008	-0.004715	0.071686	0.0070038
0.0032501	-0.00050354	-0.0084686	0.12007	-0.00022888
0.0011444	-0.0085602	-0.010117	0.07814	0.011078
0.003891	-0.0027924	-0.0079651	0.017899	0.0048065
0.0045776	-0.0060883	-0.0099335	-0.014053	0.0088806
0.00027466	-0.006546	-0.0048981	-0.023117	0.0091095
0.00032043	-0.0055389	-0.0055389	-0.030075	-0.001236
0.0009613	-0.012131	-0.0036621	-0.018036	0.011673
0.0007782	-0.0022888	-0.002243	0.0081482	0.0027008
-0.00045776	-0.0037079	-0.0046234	0.0066376	0.014969
0.0017853	-0.016571	-0.0044403	-0.0029755	-0.0044403
0.0053101	-0.013138	-0.0059967	-0.019318	0.0016937
0.0031586	-0.0013733	-0.0035248	-0.015427	-0.0070038
-0.0042114	-0.0030212	-0.0046234	-0.014969	0.014099
-0.0030212	-0.0048065	-0.0020599	-0.023712	0.0050812
-0.0028381	-0.0084686	0.0032501	-0.032822	-4.5776e-05
-0.0021973	-0.0015106	0.0027924	-0.024857	-0.003891
-0.0014648	-0.0020599	0.00032043	-0.01149	0.0087433
0.0009613	-0.011398	0.00032043	-0.0016937	0.015244
-0.0009613	-0.0058136	4.5776e-05	0.001236	0.0023346
-0.00027466	-0.012863	0.00032043	-0.0048523	0.0048065
-0.0026093	-0.0047607	0.0020599	0.00022888	0.010483
0.0032501	0.00032043	0.0016022	0.003067	0.0046234
0.0099335	-0.0033417	-0.001236	-0.0055847	0.0013275
0.006134	-0.00041199	-0.0064545	-0.0066376	-0.016708
0.0053558	-0.0050354	-0.0033417	-0.0040741	-0.0009613
0.0048065	-0.0046234	-0.0028839	-0.0041656	0.018997
0.0015106	-0.0095673	-0.0014648	-0.0014648	0.010849
-0.003067	0.0011444	-0.0026093	0.0032501	-0.0007782
0.0020599	0.0026093	-0.0042572	0.0085602	-0.017441
0.0083313	-0.0039825	-0.0087891	0.010437	0.0013275
0.012405	-0.002243	-0.011353	0.0072784	0.00032043
0.0091553	-0.0095673	-0.011398	0.015518	0.010208
0.0080566	-0.0032501	-0.01062	0.03035	-0.0044403
0.0056305	0.0017853	-0.0099335	0.032547	0.010941
0.0036621	-0.0068207	-0.011398	0.048386	0.010849
0.0091095	-0.0035706	-0.010849	0.015244	0.01181
0.0087433	-0.010483	-0.012039	-0.02037	0.013596
0.012177	-0.011215	-0.012955	-0.018036	-0.0016937
0.014191	-0.0049896	-0.016251	-0.0067291	0.016525
0.010117	-0.0053558	-0.011398	0.013046	0.0098419
0.0070496	-0.0049896	-0.012955	0.0050812	0.011124
0.0079193	-0.010849	-0.010849	0.003891	-0.0064545
0.0060425	-0.0059052	-0.010483	-0.0040741	-0.00013733
0.0060425	-0.0019226	-0.0064545	-0.024582	-0.0063629
0.0056305	-0.002243	-0.003067	-0.047607	-0.0070953
0.0043945	0.00032043	-0.0036621	-0.039871	0.0094757
0.0037994	-0.010757	-0.0017853	-0.0010071	-0.0081024
-0.0060883	-0.0067291	0.0032501	0.014786	-0.012589
-0.011627	-0.0063629	0.0040741	0.00032043	-0.0037079
-0.014877	-0.017715	0.0046234	-0.018951	0.0045776
-0.018494	-0.013962	0.0053101	-0.015793	-0.0044403
-0.020828	-0.017487	0.0075073	0.013367	0.0043488
-0.023804	-0.0068207	0.0061798	0.032547	-0.0028839
-0.023666	-0.0051727	0.00737	0.046646	0.011673
-0.023117	-0.015793	0.0083771	0.066833	0.0032501
-0.021744	-0.0075531	0.003891	0.11604	0.0010071
-0.019501	-0.0033417	0.001236	0.066971	0.0091095
-0.016388	0.0071869	0.0052643	-0.031906	0.0065918
-0.018356	0.0054474	0.0054016	-0.057816	0.0020599
-0.016296	0.00032043	0.006546	-0.039688	0.013184
-0.010895	-0.0020142	0.0041656	-0.019089	0.0023346
-0.0089264	-0.0069122	0.0015106	-0.012589	0.018356
-0.0055389	-0.00086975	0.00022888	-0.014053	-0.0016937
-0.0027466	-0.0071869	0.0015106	-0.017258	-0.0067291
0	-0.0023346	-0.00091553	-0.031448	0.0074615
0.0019226	-0.0023346	-0.0029755	-0.029938	-0.0009613
0.0031586	-0.0070038	-0.0066376	-0.034927	0.018448
0.0053101	-0.0047607	-0.0037079	-0.024033	0.0076447
0.004715	-0.00032043	-0.0043488	-0.0059052	0.004303
0.0076904	0.003891	-0.003067	-0.0059052	0.008194
0.012177	-0.0019684	-0.0048981	-0.001236	-0.018814
0.013779	0.0032501	-0.0046692	0.0017853	-0.012772
0.016296	-0.0077362	-0.0070496	-0.0049896	0.004715
0.012817	-0.0056305	-0.0067291	0.028473	0.0024261
0.0063629	-0.0033417	-0.0091095	0.026962	0.0051727
0.0073242	-0.0065002	-0.0084686	0.016159	0.0015106
0.0067749	-0.0042572	-0.010574	0.012314	0.015244
0.0091095	-0.016068	-0.0090179	-0.0018768	0.016708
0.0075531	-0.013275	-0.0103	-0.0029755	0.017899
0.0051727	-0.009201	-0.0095673	0.012039	0.0064545
0.0032501	-0.00050354	-0.0077362	0.022659	0.0010071
0.0027924	-0.00059509	-0.0074615	-0.021927	0.0028839
9.1553e-05	-0.011032	-0.0099335	-0.036438	0.0074615
0.0025635	-0.0082397	-0.0099335	-0.029892	-0.0049896
0.00032043	-0.009201	-0.0055389	-0.021378	0.0099335
-0.0013275	-0.002655	-0.0071411	0.014511	0.0058136
4.5776e-05	-0.0035248	-0.0089264	0.044083	0.014969
-0.0020142	-0.010666	-0.0075531	0.024399	0.0032501
-0.0027008	-0.010666	-0.0051727	0.010757	0.0011444
-0.00045776	-0.012131	-0.0050354	-0.0009613	-0.00041199
-0.0020599	-0.00068665	-0.002243	-0.021286	0.0020599
